year,week,age_group,ili,detection_rate,hospitalization,vaccine_rate,emergency_patients,subtype
2019.0,24.0,연령미상,,,,,0.0,B
2019.0,25.0,0-6세,,1.3,,,,B
2019.0,25.0,0세,3.4,,1.0,,0.0,B
2019.0,25.0,1-6세,7.3,,3.0,,12.0,B
2019.0,25.0,13-18세,4.2,12.5,0.0,,5.0,B
2019.0,25.0,19-49세,3.6,0.0,1.0,,27.0,B
2019.0,25.0,50-64세,2.2,0.0,2.0,,6.0,B
2019.0,25.0,65세이상,1.3,0.0,4.0,,7.0,B
2019.0,25.0,7-12세,7.7,8.7,3.0,,11.0,B
2019.0,25.0,연령미상,,,,,0.0,B
2019.0,26.0,0-6세,,0.0,,,,B
2019.0,26.0,0세,3.9,,0.0,,1.0,B
2019.0,26.0,1-6세,7.3,,2.0,,15.0,B
2019.0,26.0,13-18세,2.2,0.0,1.0,,4.0,B
2019.0,26.0,19-49세,2.7,0.0,6.0,,38.0,B
2019.0,26.0,50-64세,2.0,0.0,2.0,,9.0,B
2019.0,26.0,65세이상,1.0,4.3,4.0,,8.0,B
2019.0,26.0,7-12세,7.1,5.9,5.0,,5.0,B
2019.0,26.0,연령미상,,,,,0.0,B
2019.0,27.0,0-6세,,0.0,,,,B
2019.0,27.0,0세,3.7,,0.0,,1.0,B
2019.0,27.0,1-6세,8.6,,2.0,,9.0,B
2019.0,27.0,13-18세,4.0,0.0,0.0,,6.0,B
2019.0,27.0,19-49세,3.5,0.0,1.0,,25.0,B
2019.0,27.0,50-64세,2.1,0.0,1.0,,7.0,B
2019.0,27.0,65세이상,1.1,0.0,1.0,,18.0,B
2019.0,27.0,7-12세,6.4,11.8,4.0,,4.0,B
2019.0,27.0,연령미상,,,,,0.0,B
2019.0,28.0,0-6세,,0.0,,,,A(H3N2)
2019.0,28.0,0세,1.1,,1.0,,1.0,A(H3N2)
2019.0,28.0,1-6세,6.9,,2.0,,7.0,A(H3N2)
2019.0,28.0,13-18세,3.1,0.0,0.0,,1.0,A(H3N2)
2019.0,28.0,19-49세,3.7,0.0,4.0,,20.0,A(H3N2)
2019.0,28.0,50-64세,2.2,0.0,3.0,,5.0,A(H3N2)
2019.0,28.0,65세이상,1.3,0.0,1.0,,8.0,A(H3N2)
2019.0,28.0,7-12세,5.6,10.0,6.0,,4.0,A(H3N2)
2019.0,28.0,연령미상,,,,,0.0,A(H3N2)
2019.0,29.0,0-6세,,1.1,,,,A(H3N2)
2019.0,29.0,0세,2.2,,0.0,,0.0,A(H3N2)
2019.0,29.0,1-6세,8.0,,0.0,,3.0,A(H3N2)
2019.0,29.0,13-18세,3.7,0.0,0.0,,3.0,A(H3N2)
2019.0,29.0,19-49세,3.2,0.0,0.0,,12.0,A(H3N2)
2019.0,29.0,50-64세,1.5,0.0,1.0,,7.0,A(H3N2)
2019.0,29.0,65세이상,1.5,0.0,1.0,,9.0,A(H3N2)
2019.0,29.0,7-12세,6.0,0.0,4.0,,1.0,A(H3N2)
2019.0,29.0,연령미상,,,,,0.0,A(H3N2)
2019.0,30.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,30.0,0세,2.7,,1.0,,0.0,A(H1N1)pdm09
2019.0,30.0,1-6세,8.0,,1.0,,2.0,A(H1N1)pdm09
2019.0,30.0,13-18세,2.9,0.0,0.0,,0.0,A(H1N1)pdm09
2019.0,30.0,19-49세,4.1,0.0,0.0,,22.0,A(H1N1)pdm09
2019.0,30.0,50-64세,1.5,0.0,3.0,,3.0,A(H1N1)pdm09
2019.0,30.0,65세이상,1.0,0.0,3.0,,8.0,A(H1N1)pdm09
2019.0,30.0,7-12세,4.5,0.0,2.0,,2.0,A(H1N1)pdm09
2019.0,30.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,31.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,31.0,0세,1.9,,0.0,,0.0,A(H1N1)pdm09
2019.0,31.0,1-6세,7.0,,0.0,,2.0,A(H1N1)pdm09
2019.0,31.0,13-18세,4.7,0.0,0.0,,2.0,A(H1N1)pdm09
2019.0,31.0,19-49세,3.7,0.0,1.0,,14.0,A(H1N1)pdm09
2019.0,31.0,50-64세,1.3,0.0,0.0,,4.0,A(H1N1)pdm09
2019.0,31.0,65세이상,1.1,0.0,2.0,,4.0,A(H1N1)pdm09
2019.0,31.0,7-12세,4.0,0.0,3.0,,3.0,A(H1N1)pdm09
2019.0,31.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,32.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,32.0,0세,1.7,,0.0,,1.0,A(H1N1)pdm09
2019.0,32.0,1-6세,5.6,,1.0,,5.0,A(H1N1)pdm09
2019.0,32.0,13-18세,5.5,0.0,1.0,,2.0,A(H1N1)pdm09
2019.0,32.0,19-49세,3.7,0.0,0.0,,11.0,A(H1N1)pdm09
2019.0,32.0,50-64세,1.4,0.0,1.0,,4.0,A(H1N1)pdm09
2019.0,32.0,65세이상,0.8,0.0,3.0,,6.0,A(H1N1)pdm09
2019.0,32.0,7-12세,5.7,0.0,4.0,,2.0,A(H1N1)pdm09
2019.0,32.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,33.0,0-6세,,0.0,,,,A(H3N2)
2019.0,33.0,0세,1.7,,2.0,,0.0,A(H3N2)
2019.0,33.0,1-6세,4.1,,1.0,,3.0,A(H3N2)
2019.0,33.0,13-18세,3.7,0.0,0.0,,2.0,A(H3N2)
2019.0,33.0,19-49세,3.5,0.0,3.0,,11.0,A(H3N2)
2019.0,33.0,50-64세,1.7,0.0,1.0,,3.0,A(H3N2)
2019.0,33.0,65세이상,1.6,5.9,2.0,,3.0,A(H3N2)
2019.0,33.0,7-12세,3.2,0.0,6.0,,0.0,A(H3N2)
2019.0,33.0,연령미상,,,,,0.0,A(H3N2)
2019.0,34.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,34.0,0세,1.2,,0.0,,0.0,A(H1N1)pdm09
2019.0,34.0,1-6세,5.6,,2.0,,4.0,A(H1N1)pdm09
2019.0,34.0,13-18세,3.0,0.0,0.0,,2.0,A(H1N1)pdm09
2019.0,34.0,19-49세,4.0,0.0,2.0,,12.0,A(H1N1)pdm09
2019.0,34.0,50-64세,1.7,0.0,0.0,,5.0,A(H1N1)pdm09
2019.0,34.0,65세이상,1.1,3.8,2.0,,9.0,A(H1N1)pdm09
2019.0,34.0,7-12세,3.4,0.0,3.0,,1.0,A(H1N1)pdm09
2019.0,34.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,35.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,35.0,0세,2.5,,1.0,,0.0,A(H1N1)pdm09
2019.0,35.0,1-6세,5.5,,2.0,,2.0,A(H1N1)pdm09
2019.0,35.0,13-18세,2.1,0.0,1.0,,4.0,A(H1N1)pdm09
2019.0,35.0,19-49세,3.0,0.0,2.0,,7.0,A(H1N1)pdm09
2019.0,35.0,50-64세,2.5,0.0,3.0,,2.0,A(H1N1)pdm09
2019.0,35.0,65세이상,1.4,0.0,2.0,,2.0,A(H1N1)pdm09
2019.0,35.0,7-12세,4.8,0.0,5.0,,1.0,A(H1N1)pdm09
2019.0,35.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,36.0,0-6세,,1.3,,,,A(H1N1)pdm09
2019.0,36.0,0세,2.9,,0.0,,1.0,A(H1N1)pdm09
2019.0,36.0,1-6세,5.6,,1.0,,7.0,A(H1N1)pdm09
2019.0,36.0,13-18세,3.6,0.0,0.0,,3.0,A(H1N1)pdm09
2019.0,36.0,19-49세,3.6,0.0,1.0,,12.0,A(H1N1)pdm09
2019.0,36.0,50-64세,1.7,3.2,0.0,,2.0,A(H1N1)pdm09
2019.0,36.0,65세이상,0.9,0.0,2.0,,4.0,A(H1N1)pdm09
2019.0,36.0,7-12세,3.8,0.0,3.0,,3.0,A(H1N1)pdm09
2019.0,36.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,37.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,37.0,0세,1.4,,1.0,,0.0,A(H1N1)pdm09
2019.0,37.0,1-6세,5.3,,2.0,,9.0,A(H1N1)pdm09
2019.0,37.0,13-18세,2.8,0.0,0.0,,3.0,A(H1N1)pdm09
2019.0,37.0,19-49세,3.6,0.0,2.0,,28.0,A(H1N1)pdm09
2019.0,37.0,50-64세,2.4,0.0,1.0,,6.0,A(H1N1)pdm09
2019.0,37.0,65세이상,0.9,0.0,1.0,,10.0,A(H1N1)pdm09
2019.0,37.0,7-12세,5.0,0.0,9.0,,7.0,A(H1N1)pdm09
2019.0,37.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,38.0,0-6세,,0.0,,,,A(H1N1)pdm09
2019.0,38.0,0세,2.6,,3.0,,1.0,A(H1N1)pdm09
2019.0,38.0,1-6세,5.8,,2.0,,11.0,A(H1N1)pdm09
2019.0,38.0,13-18세,4.9,0.0,1.0,,5.0,A(H1N1)pdm09
2019.0,38.0,19-49세,3.8,0.0,1.0,,16.0,A(H1N1)pdm09
2019.0,38.0,50-64세,1.9,0.0,5.0,,7.0,A(H1N1)pdm09
2019.0,38.0,65-69세,,,,0.0,,A(H1N1)pdm09
2019.0,38.0,65세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,38.0,65세이상,1.4,0.0,3.0,,8.0,A(H1N1)pdm09
2019.0,38.0,7-12세,4.1,0.0,10.0,,8.0,A(H1N1)pdm09
2019.0,38.0,70-74세,,,,0.0,,A(H1N1)pdm09
2019.0,38.0,75세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,38.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,39.0,0-6세,,1.3,,,,A(H3N2)
2019.0,39.0,0세,2.1,,0.0,,0.0,A(H3N2)
2019.0,39.0,1-6세,6.3,,2.0,,12.0,A(H3N2)
2019.0,39.0,13-18세,4.7,0.0,1.0,,3.0,A(H3N2)
2019.0,39.0,19-49세,3.7,2.0,1.0,,23.0,A(H3N2)
2019.0,39.0,50-64세,2.2,0.0,0.0,,10.0,A(H3N2)
2019.0,39.0,65-69세,,,,0.0,,A(H3N2)
2019.0,39.0,65세 이상,,,,0.0,,A(H3N2)
2019.0,39.0,65세이상,1.2,4.0,5.0,,9.0,A(H3N2)
2019.0,39.0,7-12세,4.3,0.0,10.0,,10.0,A(H3N2)
2019.0,39.0,70-74세,,,,0.0,,A(H3N2)
2019.0,39.0,75세 이상,,,,0.0,,A(H3N2)
2019.0,39.0,연령미상,,,,,0.0,A(H3N2)
2019.0,40.0,0-6세,,3.4,,,,A(H1N1)pdm09
2019.0,40.0,0세,1.8,,1.0,,3.0,A(H1N1)pdm09
2019.0,40.0,1-6세,6.0,,15.0,,15.0,A(H1N1)pdm09
2019.0,40.0,13-18세,3.3,0.0,2.0,,4.0,A(H1N1)pdm09
2019.0,40.0,19-49세,4.0,0.0,6.0,,43.0,A(H1N1)pdm09
2019.0,40.0,50-64세,2.5,0.0,2.0,,17.0,A(H1N1)pdm09
2019.0,40.0,65-69세,,,,0.0,,A(H1N1)pdm09
2019.0,40.0,65세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,40.0,65세이상,1.4,0.0,4.0,,8.0,A(H1N1)pdm09
2019.0,40.0,7-12세,4.8,0.0,16.0,,15.0,A(H1N1)pdm09
2019.0,40.0,70-74세,,,,0.0,,A(H1N1)pdm09
2019.0,40.0,75세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,40.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,41.0,0-6세,,5.0,,,,A(H1N1)pdm09
2019.0,41.0,0세,2.8,,5.0,,7.0,A(H1N1)pdm09
2019.0,41.0,1-6세,5.6,,10.0,,24.0,A(H1N1)pdm09
2019.0,41.0,13-18세,3.1,10.0,3.0,,6.0,A(H1N1)pdm09
2019.0,41.0,19-49세,5.6,2.2,8.0,,62.0,A(H1N1)pdm09
2019.0,41.0,50-64세,3.2,0.0,2.0,,14.0,A(H1N1)pdm09
2019.0,41.0,65-69세,,,,0.0,,A(H1N1)pdm09
2019.0,41.0,65세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,41.0,65세이상,1.4,0.0,5.0,,14.0,A(H1N1)pdm09
2019.0,41.0,7-12세,5.5,4.2,18.0,,17.0,A(H1N1)pdm09
2019.0,41.0,70-74세,,,,0.0,,A(H1N1)pdm09
2019.0,41.0,75세 이상,,,,0.0,,A(H1N1)pdm09
2019.0,41.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,42.0,0-6세,,4.4,,,,A(H1N1)pdm09
2019.0,42.0,0세,1.2,,4.0,,0.0,A(H1N1)pdm09
2019.0,42.0,1-6세,6.2,,16.0,,69.0,A(H1N1)pdm09
2019.0,42.0,13-18세,6.1,11.1,4.0,,12.0,A(H1N1)pdm09
2019.0,42.0,19-49세,6.7,0.0,10.0,,90.0,A(H1N1)pdm09
2019.0,42.0,50-64세,3.2,0.0,7.0,,21.0,A(H1N1)pdm09
2019.0,42.0,65-69세,,,,11.4,,A(H1N1)pdm09
2019.0,42.0,65세 이상,,,,33.8,,A(H1N1)pdm09
2019.0,42.0,65세이상,0.7,3.4,11.0,,28.0,A(H1N1)pdm09
2019.0,42.0,7-12세,6.7,8.0,28.0,,41.0,A(H1N1)pdm09
2019.0,42.0,70-74세,,,,17.1,,A(H1N1)pdm09
2019.0,42.0,75세 이상,,,,59.4,,A(H1N1)pdm09
2019.0,42.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,43.0,0-6세,,4.3,,,,A(H1N1)pdm09
2019.0,43.0,0세,2.5,,4.0,,5.0,A(H1N1)pdm09
2019.0,43.0,1-6세,6.7,,21.0,,127.0,A(H1N1)pdm09
2019.0,43.0,13-18세,4.5,0.0,0.0,,11.0,A(H1N1)pdm09
2019.0,43.0,19-49세,4.9,0.0,15.0,,104.0,A(H1N1)pdm09
2019.0,43.0,50-64세,2.6,2.6,1.0,,27.0,A(H1N1)pdm09
2019.0,43.0,65-69세,,,,49.5,,A(H1N1)pdm09
2019.0,43.0,65세 이상,,,,65.5,,A(H1N1)pdm09
2019.0,43.0,65세이상,1.2,0.0,14.0,,26.0,A(H1N1)pdm09
2019.0,43.0,7-12세,7.2,12.9,35.0,,61.0,A(H1N1)pdm09
2019.0,43.0,70-74세,,,,64.8,,A(H1N1)pdm09
2019.0,43.0,75세 이상,,,,77.6,,A(H1N1)pdm09
2019.0,43.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,44.0,0-6세,,6.9,,,,A(H1N1)pdm09
2019.0,44.0,0세,3.0,,7.0,,14.0,A(H1N1)pdm09
2019.0,44.0,1-6세,8.4,,12.0,,208.0,A(H1N1)pdm09
2019.0,44.0,13-18세,5.8,7.7,1.0,,21.0,A(H1N1)pdm09
2019.0,44.0,19-49세,5.1,0.0,10.0,,150.0,A(H1N1)pdm09
2019.0,44.0,50-64세,3.0,2.7,5.0,,29.0,A(H1N1)pdm09
2019.0,44.0,65-69세,,,,63.0,,A(H1N1)pdm09
2019.0,44.0,65세 이상,,,,75.1,,A(H1N1)pdm09
2019.0,44.0,65세이상,1.7,0.0,25.0,,30.0,A(H1N1)pdm09
2019.0,44.0,7-12세,11.6,16.7,32.0,,123.0,A(H1N1)pdm09
2019.0,44.0,70-74세,,,,76.2,,A(H1N1)pdm09
2019.0,44.0,75세 이상,,,,83.2,,A(H1N1)pdm09
2019.0,44.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,45.0,0-6세,,8.7,,,,A(H1N1)pdm09
2019.0,45.0,0세,5.1,,8.0,,17.0,A(H1N1)pdm09
2019.0,45.0,1-6세,10.4,,20.0,,275.0,A(H1N1)pdm09
2019.0,45.0,13-18세,8.0,11.1,1.0,,30.0,A(H1N1)pdm09
2019.0,45.0,19-49세,5.9,5.4,11.0,,211.0,A(H1N1)pdm09
2019.0,45.0,50-64세,3.0,0.0,7.0,,63.0,A(H1N1)pdm09
2019.0,45.0,65-69세,,,,68.9,,A(H1N1)pdm09
2019.0,45.0,65세 이상,,,,79.0,,A(H1N1)pdm09
2019.0,45.0,65세이상,2.1,0.0,6.0,,50.0,A(H1N1)pdm09
2019.0,45.0,7-12세,13.2,16.1,47.0,,168.0,A(H1N1)pdm09
2019.0,45.0,70-74세,,,,80.5,,A(H1N1)pdm09
2019.0,45.0,75세 이상,,,,85.4,,A(H1N1)pdm09
2019.0,45.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,46.0,0-6세,,3.9,,,,A(H1N1)pdm09
2019.0,46.0,0세,4.3,,15.0,,31.0,A(H1N1)pdm09
2019.0,46.0,1-6세,11.5,,24.0,,322.0,A(H1N1)pdm09
2019.0,46.0,13-18세,8.0,0.0,4.0,,38.0,A(H1N1)pdm09
2019.0,46.0,19-49세,7.0,2.3,23.0,,281.0,A(H1N1)pdm09
2019.0,46.0,50-64세,3.8,2.4,7.0,,67.0,A(H1N1)pdm09
2019.0,46.0,65-69세,,,,72.4,,A(H1N1)pdm09
2019.0,46.0,65세 이상,,,,81.0,,A(H1N1)pdm09
2019.0,46.0,65세이상,1.8,0.0,25.0,,58.0,A(H1N1)pdm09
2019.0,46.0,7-12세,19.7,16.1,51.0,,195.0,A(H1N1)pdm09
2019.0,46.0,70-74세,,,,82.7,,A(H1N1)pdm09
2019.0,46.0,75세 이상,,,,86.4,,A(H1N1)pdm09
2019.0,46.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,47.0,0-6세,,12.0,,,,A(H1N1)pdm09
2019.0,47.0,0세,5.6,,9.0,,35.0,A(H1N1)pdm09
2019.0,47.0,1-6세,13.1,,38.0,,379.0,A(H1N1)pdm09
2019.0,47.0,13-18세,13.7,22.2,14.0,,77.0,A(H1N1)pdm09
2019.0,47.0,19-49세,9.4,14.5,32.0,,434.0,A(H1N1)pdm09
2019.0,47.0,50-64세,3.7,3.3,14.0,,96.0,A(H1N1)pdm09
2019.0,47.0,65-69세,,,,74.8,,A(H1N1)pdm09
2019.0,47.0,65세 이상,,,,82.4,,A(H1N1)pdm09
2019.0,47.0,65세이상,1.8,0.0,17.0,,65.0,A(H1N1)pdm09
2019.0,47.0,7-12세,24.1,47.4,43.0,,312.0,A(H1N1)pdm09
2019.0,47.0,70-74세,,,,84.1,,A(H1N1)pdm09
2019.0,47.0,75세 이상,,,,87.1,,A(H1N1)pdm09
2019.0,47.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,48.0,0-6세,,13.8,,,,A(H1N1)pdm09
2019.0,48.0,0세,7.0,,17.0,,51.0,A(H1N1)pdm09
2019.0,48.0,1-6세,18.0,,59.0,,614.0,A(H1N1)pdm09
2019.0,48.0,13-18세,20.7,6.3,17.0,,124.0,A(H1N1)pdm09
2019.0,48.0,19-49세,9.4,10.9,43.0,,696.0,A(H1N1)pdm09
2019.0,48.0,50-64세,4.6,4.3,16.0,,143.0,A(H1N1)pdm09
2019.0,48.0,65-69세,,,,75.4,,A(H1N1)pdm09
2019.0,48.0,65세 이상,,,,82.8,,A(H1N1)pdm09
2019.0,48.0,65세이상,2.2,0.0,30.0,,119.0,A(H1N1)pdm09
2019.0,48.0,7-12세,35.2,34.5,52.0,,514.0,A(H1N1)pdm09
2019.0,48.0,70-74세,,,,84.4,,A(H1N1)pdm09
2019.0,48.0,75세 이상,,,,87.2,,A(H1N1)pdm09
2019.0,48.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,49.0,0-6세,,21.4,,,,A(H1N1)pdm09
2019.0,49.0,0세,6.9,,17.0,,78.0,A(H1N1)pdm09
2019.0,49.0,1-6세,25.2,,94.0,,809.0,A(H1N1)pdm09
2019.0,49.0,13-18세,21.4,16.7,25.0,,222.0,A(H1N1)pdm09
2019.0,49.0,19-49세,17.0,11.5,77.0,,1151.0,A(H1N1)pdm09
2019.0,49.0,50-64세,7.5,12.8,34.0,,250.0,A(H1N1)pdm09
2019.0,49.0,65-69세,,,,75.8,,A(H1N1)pdm09
2019.0,49.0,65세 이상,,,,83.0,,A(H1N1)pdm09
2019.0,49.0,65세이상,3.4,0.0,34.0,,179.0,A(H1N1)pdm09
2019.0,49.0,7-12세,59.5,37.7,89.0,,721.0,A(H1N1)pdm09
2019.0,49.0,70-74세,,,,84.6,,A(H1N1)pdm09
2019.0,49.0,75세 이상,,,,87.3,,A(H1N1)pdm09
2019.0,49.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,50.0,0-6세,,14.8,,,,A(H1N1)pdm09
2019.0,50.0,0세,9.5,,47.0,,153.0,A(H1N1)pdm09
2019.0,50.0,1-6세,34.1,,154.0,,1434.0,A(H1N1)pdm09
2019.0,50.0,13-18세,38.8,7.7,44.0,,484.0,A(H1N1)pdm09
2019.0,50.0,19-49세,24.3,14.5,125.0,,2130.0,A(H1N1)pdm09
2019.0,50.0,50-64세,13.1,9.6,63.0,,551.0,A(H1N1)pdm09
2019.0,50.0,65-69세,,,,76.1,,A(H1N1)pdm09
2019.0,50.0,65세 이상,,,,83.1,,A(H1N1)pdm09
2019.0,50.0,65세이상,5.1,5.6,108.0,,305.0,A(H1N1)pdm09
2019.0,50.0,7-12세,87.9,45.9,167.0,,1262.0,A(H1N1)pdm09
2019.0,50.0,70-74세,,,,84.7,,A(H1N1)pdm09
2019.0,50.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2019.0,50.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,51.0,0-6세,,22.9,,,,A(H1N1)pdm09
2019.0,51.0,0세,12.7,,47.0,,227.0,A(H1N1)pdm09
2019.0,51.0,1-6세,47.7,,199.0,,2274.0,A(H1N1)pdm09
2019.0,51.0,13-18세,61.3,50.0,52.0,,748.0,A(H1N1)pdm09
2019.0,51.0,19-49세,35.4,25.0,180.0,,3340.0,A(H1N1)pdm09
2019.0,51.0,50-64세,16.4,24.4,144.0,,882.0,A(H1N1)pdm09
2019.0,51.0,65-69세,,,,76.3,,A(H1N1)pdm09
2019.0,51.0,65세 이상,,,,83.2,,A(H1N1)pdm09
2019.0,51.0,65세이상,6.0,12.1,206.0,,566.0,A(H1N1)pdm09
2019.0,51.0,7-12세,102.2,31.7,212.0,,1986.0,A(H1N1)pdm09
2019.0,51.0,70-74세,,,,84.8,,A(H1N1)pdm09
2019.0,51.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2019.0,51.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,52.0,0-6세,,29.7,,,,A(H1N1)pdm09
2019.0,52.0,0세,17.6,,69.0,,421.0,A(H1N1)pdm09
2019.0,52.0,1-6세,60.5,,175.0,,3717.0,A(H1N1)pdm09
2019.0,52.0,13-18세,91.1,53.3,68.0,,1497.0,A(H1N1)pdm09
2019.0,52.0,19-49세,48.7,37.2,307.0,,6996.0,A(H1N1)pdm09
2019.0,52.0,50-64세,23.2,25.0,194.0,,1983.0,A(H1N1)pdm09
2019.0,52.0,65-69세,,,,76.4,,A(H1N1)pdm09
2019.0,52.0,65세 이상,,,,83.3,,A(H1N1)pdm09
2019.0,52.0,65세이상,8.1,21.9,272.0,,1116.0,A(H1N1)pdm09
2019.0,52.0,7-12세,128.8,53.6,315.0,,2908.0,A(H1N1)pdm09
2019.0,52.0,70-74세,,,,84.9,,A(H1N1)pdm09
2019.0,52.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2019.0,52.0,연령미상,,,,,0.0,A(H1N1)pdm09
2019.0,53.0,0-6세,,29.7,,,,A(H1N1)pdm09
2019.0,53.0,0세,17.6,,69.0,,421.0,A(H1N1)pdm09
2019.0,53.0,1-6세,60.5,,175.0,,3717.0,A(H1N1)pdm09
2019.0,53.0,13-18세,91.1,53.3,68.0,,1497.0,A(H1N1)pdm09
2019.0,53.0,19-49세,48.7,37.2,307.0,,6996.0,A(H1N1)pdm09
2019.0,53.0,50-64세,23.2,25.0,194.0,,1983.0,A(H1N1)pdm09
2019.0,53.0,65-69세,,,,76.4,,A(H1N1)pdm09
2019.0,53.0,65세 이상,,,,83.3,,A(H1N1)pdm09
2019.0,53.0,65세이상,8.1,21.9,272.0,,1116.0,A(H1N1)pdm09
2019.0,53.0,7-12세,128.8,53.6,315.0,,2908.0,A(H1N1)pdm09
2019.0,53.0,70-74세,,,,84.9,,A(H1N1)pdm09
2019.0,53.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2019.0,53.0,연령미상,,,,,0.0,A(H1N1)pdm09
2020.0,1.0,0-6세,,27.3,,,,A(H1N1)pdm09
2020.0,1.0,0세,19.6,,103.0,,571.0,A(H1N1)pdm09
2020.0,1.0,1-6세,53.6,,198.0,,3430.0,A(H1N1)pdm09
2020.0,1.0,13-18세,93.6,59.3,97.0,,1717.0,A(H1N1)pdm09
2020.0,1.0,19-49세,55.1,50.0,397.0,,9668.0,A(H1N1)pdm09
2020.0,1.0,50-64세,30.0,42.0,258.0,,2941.0,A(H1N1)pdm09
2020.0,1.0,65-69세,,,,76.5,,A(H1N1)pdm09
2020.0,1.0,65세 이상,,,,83.3,,A(H1N1)pdm09
2020.0,1.0,65세이상,13.2,40.9,408.0,,1865.0,A(H1N1)pdm09
2020.0,1.0,7-12세,113.2,49.1,258.0,,2692.0,A(H1N1)pdm09
2020.0,1.0,70-74세,,,,84.9,,A(H1N1)pdm09
2020.0,1.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2020.0,1.0,연령미상,,,,,0.0,A(H1N1)pdm09
2020.0,2.0,0-6세,,26.3,,,,A(H1N1)pdm09
2020.0,2.0,0세,23.8,,107.0,,351.0,A(H1N1)pdm09
2020.0,2.0,1-6세,57.0,,148.0,,2536.0,A(H1N1)pdm09
2020.0,2.0,13-18세,83.1,56.5,60.0,,1030.0,A(H1N1)pdm09
2020.0,2.0,19-49세,61.3,43.0,380.0,,7120.0,A(H1N1)pdm09
2020.0,2.0,50-64세,30.0,48.1,272.0,,2297.0,A(H1N1)pdm09
2020.0,2.0,65-69세,,,,76.5,,A(H1N1)pdm09
2020.0,2.0,65세 이상,,,,83.4,,A(H1N1)pdm09
2020.0,2.0,65세이상,13.0,39.5,497.0,,1873.0,A(H1N1)pdm09
2020.0,2.0,7-12세,105.2,45.7,580.0,,1456.0,A(H1N1)pdm09
2020.0,2.0,70-74세,,,,84.9,,A(H1N1)pdm09
2020.0,2.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2020.0,2.0,연령미상,,,,,0.0,A(H1N1)pdm09
2020.0,3.0,0-6세,,28.6,,,,A(H1N1)pdm09
2020.0,3.0,0세,20.5,,69.0,,321.0,A(H1N1)pdm09
2020.0,3.0,1-6세,62.5,,111.0,,2859.0,A(H1N1)pdm09
2020.0,3.0,13-18세,65.8,33.3,41.0,,568.0,A(H1N1)pdm09
2020.0,3.0,19-49세,48.1,41.4,262.0,,5197.0,A(H1N1)pdm09
2020.0,3.0,50-64세,26.0,42.6,234.0,,1819.0,A(H1N1)pdm09
2020.0,3.0,65-69세,,,,76.6,,A(H1N1)pdm09
2020.0,3.0,65세 이상,,,,83.4,,A(H1N1)pdm09
2020.0,3.0,65세이상,10.8,36.2,502.0,,1641.0,A(H1N1)pdm09
2020.0,3.0,7-12세,86.3,55.2,305.0,,997.0,A(H1N1)pdm09
2020.0,3.0,70-74세,,,,85.0,,A(H1N1)pdm09
2020.0,3.0,75세 이상,,,,87.4,,A(H1N1)pdm09
2020.0,3.0,연령미상,,,,,0.0,A(H1N1)pdm09
2020.0,4.0,0-6세,,26.6,,,,A(H1N1)pdm09
2020.0,4.0,0세,18.9,,74.0,,410.0,A(H1N1)pdm09
2020.0,4.0,1-6세,64.3,,81.0,,4566.0,A(H1N1)pdm09
